,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Wind speed,Cloudliness
373,Tabas,IR,1529374368,33.6,56.92,77.13,23,2.62,0
374,Tabuk,SA,1529370000,28.38,36.58,78.8,29,10.29,0
375,Cabo San Lucas,MX,1529372760,22.89,-109.91,84.2,39,6.93,5
376,Dunedin,NZ,1529374368,-45.87,170.5,42.84,84,10.0,24
377,Of,TR,1529371200,40.94,40.27,71.6,68,4.7,75
378,Saint-Augustin,CA,1529373240,45.63,-73.98,71.6,88,10.29,75
379,Hoi An,VN,1529371800,15.88,108.33,91.4,52,10.29,75
380,Cambrils,ES,1529371800,41.07,1.07,71.6,56,8.05,8
381,Khorramshahr,IR,1529370000,30.43,48.18,91.4,24,18.34,0
382,Parabel,RU,1529374369,58.71,81.5,56.88,99,5.41,92
383,Westport,NZ,1529374369,-41.75,171.6,52.11,64,3.74,0
384,Muscat,OM,1529369400,23.6,58.55,87.8,58,3.36,0
385,Chuy,UY,1529374370,-33.69,-53.46,43.83,92,9.33,0
386,Cap-aux-Meules,CA,1529372880,47.38,-61.86,55.4,100,13.87,90
387,Banyo,CM,1529374370,6.75,11.81,64.53,94,4.63,76
388,Camalu,MX,1529374370,30.85,-116.07,61.74,73,8.88,0
389,Albury,AU,1529373600,-36.08,146.92,53.6,66,8.05,0
390,Severo-Yeniseyskiy,RU,1529374370,60.37,93.04,74.43,54,6.42,24
391,Bajram Curri,AL,1529371800,42.36,20.08,75.2,47,10.29,75
392,Treinta y Tres,UY,1529374371,-33.23,-54.39,36.9,85,6.42,0
393,Nikolskoye,RU,1529371800,59.7,30.79,57.2,76,2.24,75
394,Ilam,IR,1529370000,33.64,46.42,64.4,36,2.24,0
395,Mutsu,JP,1529370000,41.29,141.2,59.0,87,4.7,40
396,Sawakin,SD,1529374371,19.1,37.33,78.84,65,2.62,68
397,Lahij,YE,1529374371,13.06,44.88,72.45,67,1.61,0
398,Biskupiec,PL,1529374372,53.87,20.96,54.99,82,2.95,0
399,Butajira,ET,1529374372,8.12,38.38,43.83,89,2.39,0
400,Qaqortoq,GL,1529373000,60.72,-46.03,41.0,75,3.36,12
401,Marawi,SD,1529374372,18.48,31.82,85.23,34,6.76,64
402,Sayville,US,1529372940,40.74,-73.08,78.8,69,6.93,75
403,La Ronge,CA,1529370000,55.1,-105.3,82.4,28,6.93,20
404,Nikel,RU,1529373000,69.41,30.22,53.6,93,12.75,24
405,West Wendover,US,1529369760,40.74,-114.07,75.2,19,17.22,1
406,Mao,TD,1529374170,14.12,15.31,75.15,62,6.98,0
407,Terra Santa,BR,1529374373,-2.1,-56.49,74.61,97,3.74,44
408,Flinders,AU,1529371800,-34.58,150.85,57.2,67,20.8,75
409,Yamada,JP,1529370000,36.58,137.08,84.2,51,4.7,40
410,Leningradskiy,RU,1529374373,69.38,178.42,32.58,97,8.43,68
411,Picota,PE,1529373600,-6.92,-76.33,69.8,94,1.5,20
412,Talnakh,RU,1529374374,69.49,88.39,57.6,81,4.18,68
413,Lakatoro,VU,1529374374,-16.11,167.42,78.93,86,7.31,92
414,Sao Joao da Barra,BR,1529374374,-21.64,-41.05,73.08,100,15.26,56
415,Paragominas,BR,1529374374,-3.0,-47.35,72.99,95,5.75,64
416,Okhotsk,RU,1529374374,59.36,143.24,46.53,91,5.53,88
417,Broken Hill,AU,1529374374,-31.97,141.45,51.39,84,4.63,8
418,Mlimba,TZ,1529374374,-8.78,35.81,64.35,80,2.62,20
419,Constantine,DZ,1529371800,36.36,6.61,60.8,72,5.82,40
420,Bluff,NZ,1529374375,-46.6,168.33,50.13,98,14.47,80
421,Port Macquarie,AU,1529370000,-31.43,152.91,53.6,81,12.75,75
422,Bay Roberts,CA,1529370000,47.58,-53.28,42.8,93,17.22,90
423,Kaitong,CN,1529374375,44.81,123.15,76.05,66,9.66,0
424,Mul,IN,1529374375,20.07,79.68,85.14,68,8.66,32
425,Cape Town,ZA,1529370000,-33.93,18.42,53.6,93,14.99,75
426,Kiama,AU,1529371800,-34.67,150.86,57.2,67,20.8,75
427,Tayu,ID,1529374376,-6.54,111.05,85.59,75,9.44,76
428,Vardo,NO,1529374376,70.37,31.11,50.85,81,15.26,0
429,Atherton,AU,1529371800,-17.27,145.48,75.2,31,17.22,20
430,Sangar,RU,1529374376,63.92,127.47,62.19,58,4.18,36
431,Oussouye,SN,1529374376,12.49,-16.54,76.05,98,12.68,76
432,Katobu,ID,1529374377,-4.94,122.53,82.08,92,6.64,92
433,Santa Maria,CV,1529370000,16.6,-22.9,71.6,73,11.41,75
434,Ahipara,NZ,1529374377,-35.17,173.16,59.22,91,10.89,92
435,Trairi,BR,1529374285,-3.28,-39.27,79.83,100,15.26,64
436,Grezzana,IT,1529371200,45.52,11.02,73.4,82,3.36,20
437,Khorixas,NA,1529374377,-20.37,14.96,43.56,53,3.62,0
438,Cartagena,CO,1529373600,5.03,-75.64,69.8,88,5.82,20
439,Sovetsk,RU,1529374378,55.08,21.89,57.15,84,8.21,0
440,Mahina,PF,1529373600,-17.51,-149.49,84.2,62,4.7,40
441,Champerico,GT,1529374378,14.3,-91.92,78.21,99,1.83,68
442,Qaanaaq,GL,1529374378,77.48,-69.36,32.13,99,1.39,92
443,Huilong,CN,1529374378,31.15,106.5,77.31,99,4.18,68
444,Maceio,BR,1529373600,-9.67,-35.74,71.6,94,4.7,75
445,Guarapari,BR,1529373600,-20.67,-40.5,69.8,88,9.17,75
446,Wewak,PG,1529374379,-3.55,143.63,83.07,77,2.73,36
447,Wahiawa,US,1529369820,21.5,-158.02,87.8,42,9.44,20
448,Sawankhalok,TH,1529370000,17.31,99.83,84.2,74,5.82,20
449,Kushikino,JP,1529372700,31.72,130.27,71.6,88,5.82,75
450,Jacksonville,US,1529372100,30.33,-81.66,82.4,74,9.17,1
451,Mehamn,NO,1529374380,71.03,27.85,53.73,89,11.12,0
452,Visnes,NO,1529373000,59.36,5.22,53.6,76,18.34,88
453,Almaznyy,RU,1529374380,48.03,40.04,60.66,52,2.84,0
454,Morris,CA,1529373300,49.35,-97.37,77.0,40,5.82,1
455,Biltine,TD,1529374380,14.53,20.93,79.11,64,14.92,12
456,Palma di Montechiaro,IT,1529374380,37.19,13.77,63.27,85,5.08,0
457,Cidreira,BR,1529374381,-30.17,-50.22,48.6,89,7.76,0
458,Huadian,CN,1529374381,42.97,126.75,62.91,100,4.74,92
459,Pativilca,PE,1529374381,-10.7,-77.78,60.48,100,6.42,48
460,Keighley,GB,1529373000,53.87,-1.9,59.0,81,14.99,40
461,Alofi,NU,1529373600,-19.06,-169.92,77.0,73,17.22,75
462,Joshimath,IN,1529374381,30.57,79.57,35.91,98,0.16,0
463,Waipawa,NZ,1529374382,-39.94,176.59,49.05,95,12.24,92
464,Kibara,TZ,1529374382,-2.15,33.45,66.06,100,8.99,32
465,Spring Valley,US,1529372940,41.11,-74.04,80.6,100,1.95,75
466,Opuwo,NA,1529374382,-18.06,13.84,41.58,57,3.74,0
467,Ialibu,PG,1529370000,-6.28,143.99,71.6,64,9.17,40
468,Kamenka,RU,1529374383,53.19,44.05,66.51,69,2.95,12
469,Xuchang,CN,1529370000,34.03,113.82,75.2,83,2.24,40
470,Rundu,NA,1529374383,-17.91,19.77,42.93,54,2.95,0
471,Geraldton,AU,1529371800,-28.77,114.6,59.0,72,8.05,40
472,Mahebourg,MU,1529370000,-20.41,57.7,68.0,88,8.05,20
473,Ahuimanu,US,1529369820,21.44,-157.84,87.8,65,8.05,1
474,Eydhafushi,MV,1529374384,5.1,73.07,83.25,98,13.8,36
475,Collie,AU,1529374384,-33.36,116.15,56.25,99,10.78,88
476,Concepcion,PY,1529374384,-23.41,-57.43,56.61,88,6.64,0
477,Puerto Colombia,CO,1529370000,10.99,-74.96,80.6,88,6.93,40
478,Rubtsovsk,RU,1529374384,51.53,81.22,70.65,77,10.11,24
479,Nancha,CN,1529374384,47.14,129.26,63.36,75,6.42,20
480,Helong,CN,1529374385,25.94,116.13,82.35,81,5.3,32
481,Ipojuca,BR,1529373600,-8.4,-35.06,78.8,74,6.93,40
482,Urucara,BR,1529374113,-2.54,-57.76,75.24,95,3.06,68
483,Flin Flon,CA,1529374385,54.77,-101.88,74.43,30,4.63,24
484,Kattivakkam,IN,1529371800,13.22,80.32,86.0,62,8.05,20
485,Kushima,JP,1529372700,31.5,131.29,71.6,88,5.82,75
486,Erzin,RU,1529374385,50.26,95.16,75.96,29,8.43,92
487,Kumluca,TR,1529374386,36.37,30.29,52.56,100,0.38,64
488,Talas,TR,1529371200,38.69,35.55,51.8,93,1.12,0
489,Launceston,AU,1529371800,-41.43,147.14,46.4,70,4.7,0
490,Siyabuswa,ZA,1529374386,-25.11,29.06,36.27,70,2.62,0
491,Gorgan,IR,1529370000,36.84,54.43,71.6,88,11.41,40
492,Ibresi,RU,1529374386,55.3,47.04,67.05,73,3.4,8
493,Salta,AR,1529373600,-24.79,-65.41,46.4,81,5.82,0
494,Wanning,CN,1529374387,18.8,110.4,86.13,95,11.34,56
495,Batetskiy,RU,1529374387,58.65,30.3,58.95,99,5.19,76
496,Gorontalo,ID,1529374387,0.54,123.06,86.04,67,4.18,32
497,Panguna,PG,1529374387,-6.32,155.48,84.24,75,5.64,48
498,Malartic,CA,1529370000,48.14,-78.13,59.0,72,14.99,20
499,Palmerston,AU,1529371800,-12.49,130.99,80.6,26,12.75,0
500,Ilulissat,GL,1529373000,69.22,-51.1,48.2,45,18.34,36
501,Biloela,AU,1529374388,-24.4,150.51,59.76,47,14.25,0
502,Dingle,IE,1529374388,52.14,-10.27,53.1,100,4.29,48
503,Baiyin,CN,1529370000,36.55,104.13,68.0,56,4.47,0
504,Hasaki,JP,1529372040,35.73,140.83,77.0,65,11.41,75
505,Ambon,ID,1529374388,-3.7,128.18,80.55,99,7.99,92
506,Bredasdorp,ZA,1529370000,-34.53,20.04,57.2,67,10.29,76
507,Katsuura,JP,1529370360,33.93,134.5,71.6,94,18.34,75
508,Tongliao,CN,1529374389,43.61,122.27,76.77,73,6.98,0
509,Shache,CN,1529374389,38.42,77.24,75.33,39,6.2,20
510,Suluq,LY,1529369880,31.67,20.25,66.2,82,4.18,40
511,Mana,GF,1529374389,5.67,-53.78,76.5,86,3.18,12
512,Jamestown,SH,1529374389,-15.94,-5.72,70.38,100,16.82,92
513,Kastoria,GR,1529374390,40.52,21.27,53.1,100,2.62,0
514,Durango,ES,1529373600,43.17,-2.63,60.8,93,3.29,92
515,Arman,RU,1529371800,59.7,150.17,57.2,58,8.95,0
516,Portland,AU,1529374390,-33.35,149.98,47.34,87,6.2,88
517,Maniitsoq,GL,1529374390,65.42,-52.9,36.99,86,4.63,44
518,Ardabil,IR,1529374391,38.25,48.3,51.3,76,2.17,0
519,Abashiri,JP,1529370000,44.01,144.25,73.4,56,12.75,75
520,Morehead,PG,1529374391,-8.71,141.64,80.19,87,17.83,92
521,Ojinaga,MX,1529374391,29.57,-104.42,87.48,27,8.99,32
522,Imeni Zhelyabova,RU,1529374391,58.95,36.6,67.23,78,5.75,20
523,Staraya Toropa,RU,1529374391,56.28,31.67,62.64,80,10.0,0
524,Tilichiki,RU,1529374392,60.47,166.1,53.19,73,7.99,0
525,Diu,IN,1529374392,20.71,70.98,84.33,76,5.86,64
526,Barrow,US,1529372100,39.51,-90.4,89.6,70,3.36,1
527,Anadyr,RU,1529371800,64.73,177.51,55.4,35,8.95,0
528,Huron,US,1529370600,44.36,-98.21,71.6,82,14.99,75
529,Port Blair,IN,1529374392,11.67,92.75,80.1,100,23.31,92
530,Tazovskiy,RU,1529374393,67.47,78.7,71.28,72,4.63,8
531,Drumnadrochit,GB,1529373000,57.34,-4.48,50.0,81,18.34,20
532,Belaya Gora,RU,1529374227,68.54,146.19,65.7,38,8.21,36
533,Taperoa,BR,1529374393,-7.21,-36.83,67.5,77,8.66,0
534,Goure,NE,1529374350,13.98,10.27,84.51,45,16.82,20
535,Kriva Palanka,MK,1529371800,42.2,22.33,62.6,88,2.39,20
536,Rio Gallegos,AR,1529373600,-51.62,-69.22,35.6,64,18.34,0
537,Voloshka,RU,1529374393,61.33,40.09,68.58,61,5.53,76
538,Naryan-Mar,RU,1529374394,67.67,53.09,46.08,66,5.75,0
539,Labuhan,ID,1529374394,-2.54,115.51,86.49,70,0.83,0
540,Mgachi,RU,1529374394,51.05,142.27,54.18,91,9.89,100
541,Paamiut,GL,1529374394,61.99,-49.67,36.63,100,8.1,32
542,Zhangjiakou,CN,1529374394,40.77,114.88,72.36,50,7.76,0
543,Bam,IR,1529374394,29.11,58.36,78.21,19,2.95,0
544,New Norfolk,AU,1529371800,-42.78,147.06,50.0,66,9.17,20
545,Udachnyy,RU,1529374395,66.42,112.4,69.66,51,4.18,0
546,Nador,MA,1529371800,35.17,-2.93,68.0,82,1.12,0
547,Calvinia,ZA,1529374395,-31.47,19.78,45.18,97,3.74,88
548,Gold Coast,AU,1529371800,-28.0,153.41,66.2,29,14.99,0
549,Kangavar,IR,1529374395,34.5,47.96,50.22,66,2.06,0
550,Tanout,NE,1529374396,14.97,8.88,76.95,38,11.45,0
551,Vao,NC,1529374396,-22.67,167.48,68.31,100,16.82,92
552,Ushuaia,AR,1529373600,-54.81,-68.31,35.6,94,10.29,40
553,Hue,VN,1529371800,16.47,107.58,87.8,70,4.7,0
554,Khovu-Aksy,RU,1529374396,51.13,93.72,77.85,23,0.6,92
555,Zyryanka,RU,1529374396,65.73,150.89,63.36,36,5.08,0
556,Cedar City,US,1529369580,37.68,-113.06,78.8,9,12.75,1
557,Del Rio,US,1529369820,29.36,-100.9,93.2,46,12.75,20
558,San Patricio,MX,1529372880,19.22,-104.7,80.6,83,9.17,75
559,Marystown,CA,1529374397,47.17,-55.16,46.26,95,23.09,100
560,Rutul,RU,1529370000,41.53,47.42,62.6,93,11.41,90
561,Mattru,SL,1529374397,7.62,-11.83,73.35,100,3.62,76
562,Omagh,GB,1529373000,54.6,-7.3,48.2,81,10.29,40
563,Tezu,IN,1529374397,27.93,96.16,70.11,91,0.94,80
564,Ko Samui,TH,1529371800,9.54,99.94,86.0,79,22.53,20
565,Blythe,US,1529373120,33.61,-114.59,96.8,8,5.82,1
566,Norman Wells,CA,1529370000,65.28,-126.83,82.4,32,9.17,75
567,Weiser,US,1529369580,44.25,-116.97,73.4,46,4.7,75
568,Nosy Varika,MG,1529374398,-20.58,48.53,65.7,100,2.39,20
569,Hualmay,PE,1529374398,-11.1,-77.61,55.89,94,3.74,24
570,Kapaa,US,1529369760,22.08,-159.32,82.4,69,12.75,1
571,Narsaq,GL,1529373000,60.91,-46.05,41.0,75,3.36,32
572,Lithgow,AU,1529371800,-33.48,150.16,60.8,59,16.11,75
573,Paita,PE,1529374399,-5.09,-81.11,63.36,96,3.74,32
574,Saldanha,ZA,1529370000,-33.01,17.94,51.8,93,3.36,92
575,Susanville,US,1529372100,40.42,-120.65,71.6,30,10.29,75
576,Husavik,IS,1529373600,66.04,-17.34,42.8,87,16.11,90
577,Una,BR,1529374399,-15.29,-39.07,73.35,100,9.33,88
578,Dalvik,IS,1529373600,65.97,-18.53,42.8,87,16.11,90
579,Mosquera,CO,1529370000,4.71,-74.23,55.4,71,8.05,40
580,Ottersberg,DE,1529373000,53.11,9.14,59.0,87,6.93,0
581,Arrifes,PT,1529371800,37.77,-25.7,69.8,77,3.36,75
582,Mnogovershinnyy,RU,1529374400,53.94,139.92,54.63,84,3.4,92
583,Homer,US,1529373180,59.64,-151.54,57.2,62,12.75,1
584,Veraval,IN,1529374209,20.9,70.37,85.05,82,9.78,88
585,Grimmen,DE,1529371920,54.11,13.04,59.0,100,5.82,75
586,Huarmey,PE,1529374401,-10.07,-78.15,54.0,86,2.84,0
587,Cherskiy,RU,1529374401,68.75,161.3,50.13,55,7.2,24
588,Mantua,CU,1529374401,22.29,-84.28,76.41,94,2.73,64
589,Keflavik,IS,1529373600,64.0,-22.56,44.6,93,5.82,75
590,Rimouski,CA,1529370000,48.45,-68.52,66.2,93,13.87,90
591,Quchan,IR,1529374402,37.11,58.51,66.33,50,3.18,0
592,Villa Carlos Paz,AR,1529373600,-31.42,-64.5,51.8,62,11.41,0
593,Coihaique,CL,1529373600,-45.58,-72.07,39.2,93,12.75,20
594,Abu Kamal,SY,1529374402,34.45,40.92,70.2,54,5.86,0
595,Upernavik,GL,1529374402,72.79,-56.15,35.55,85,16.93,92
596,Bauta,CU,1529373300,22.98,-82.55,77.0,94,4.7,20
597,Kitwe,ZM,1529374403,-12.81,28.21,51.66,88,6.08,0
598,Mildura,AU,1529374403,-34.18,142.16,51.93,85,4.63,36
599,Menongue,AO,1529374403,-14.66,17.68,46.17,75,2.28,0
600,Mangalam,IN,1529371800,12.6,80.07,86.0,62,8.05,20
601,Port Pirie,AU,1529370000,-33.18,138.01,50.0,66,13.87,68
602,Harnosand,SE,1529373000,62.63,17.94,57.2,76,8.05,88
603,Berck,FR,1529371800,50.41,1.57,59.0,100,10.29,90
604,Bowen,AU,1529370000,-20.01,148.25,66.2,32,11.41,0
605,Esperance,AU,1529374404,-33.86,121.89,53.91,88,10.78,0
606,Estelle,US,1529373000,32.87,-97.01,89.6,69,8.05,5
607,Hambantota,LK,1529374404,6.12,81.12,80.46,99,13.47,76
608,Hilo,US,1529369760,19.71,-155.08,80.6,65,10.29,1
609,Makat,KZ,1529374404,47.65,53.35,72.63,33,4.52,0
610,Bachhraon,IN,1529374404,28.93,78.22,87.93,71,5.08,56
611,Palm Beach,US,1529373180,42.38,-88.2,73.4,93,4.7,90
612,Mazagao,BR,1529373600,-0.12,-51.29,80.6,83,9.17,40
613,Teya,RU,1529374405,60.37,92.63,73.8,51,6.98,32
614,Mount Gambier,AU,1529374405,-37.83,140.78,50.13,87,5.86,20
615,Belyy Yar,RU,1529371800,53.6,91.39,71.6,68,4.47,0
616,Alta Floresta,BR,1529374405,-9.87,-56.08,76.32,66,2.84,36
617,Coquimbo,CL,1529373600,-29.95,-71.34,51.8,87,2.24,90
618,Souillac,MU,1529370000,-20.52,57.52,68.0,88,8.05,20
619,Morondava,MG,1529374406,-20.3,44.28,66.51,100,3.06,0
620,Russell,NZ,1529374406,-35.26,174.12,60.66,76,8.99,56
621,Verkh-Usugli,RU,1529374406,52.7,115.17,64.08,56,7.2,8
622,Camacha,PT,1529371800,33.08,-16.33,66.2,88,14.99,75
623,Shenzhen,CN,1529371800,22.54,114.05,86.0,74,13.87,20
624,Bhadrachalam,IN,1529374407,17.67,80.89,85.32,65,10.22,68
625,Zhengjiatun,CN,1529374407,43.51,123.51,74.7,86,10.0,0
626,Kimbe,PG,1529374407,-5.56,150.15,81.36,100,3.74,76
627,Qena,EG,1529370000,26.16,32.72,84.2,35,4.7,0
628,Republic,US,1529369580,48.65,-118.74,87.8,22,12.75,1
629,Jishou,CN,1529374408,28.26,109.7,85.23,80,8.66,80
630,Roebourne,AU,1529374408,-20.77,117.15,76.41,19,12.01,68
631,Diego de Almagro,CL,1529374408,-26.39,-70.05,46.08,82,0.6,0
632,Hervey Bay,AU,1529374408,-25.3,152.85,62.1,100,12.01,0
633,Dolores Hidalgo,MX,1529372460,21.16,-100.93,62.6,93,5.82,90
634,Namatanai,PG,1529374408,-3.66,152.44,85.23,95,4.18,24
635,Esmeraldas,EC,1529373600,-1.87,-79.8,75.2,78,12.75,75
636,Costa Rica,MX,1529372460,24.59,-107.39,86.0,62,11.41,5
637,Quatre Cocos,MU,1529370000,-20.21,57.76,68.0,88,8.05,20
638,Nigde,TR,1529374409,37.97,34.68,42.93,86,0.6,8
639,Vila Velha,BR,1529373600,-3.71,-38.6,78.8,83,8.05,75
640,Hithadhoo,MV,1529374409,-0.6,73.08,81.9,100,15.59,76
641,Ponta do Sol,CV,1529374409,17.2,-25.09,70.38,100,8.55,88
642,Armidale,AU,1529374410,-30.51,151.67,45.27,92,8.99,88
643,Puerto Escondido,MX,1529374410,15.86,-97.07,83.7,100,9.22,12
644,Waddan,LY,1529374410,29.16,16.14,66.6,70,7.54,0
645,Hami,CN,1529374410,42.84,93.51,89.37,28,1.39,100
646,Vaini,TO,1529370000,-21.2,-175.2,80.6,69,10.29,75
647,Haines Junction,CA,1529374410,60.75,-137.51,57.6,55,6.98,92
648,Aketi,CD,1529374411,2.74,23.78,67.95,100,3.74,100
649,Isangel,VU,1529374411,-19.55,169.27,74.43,100,13.58,92
650,Santa Isabel do Rio Negro,BR,1529374314,-0.41,-65.02,72.18,100,3.62,92
651,Labuan,MY,1529370000,5.33,115.2,87.8,79,1.12,75
652,Honiara,SB,1529373600,-9.43,159.96,86.0,74,8.05,75
653,Kavaratti,IN,1529374411,10.57,72.64,83.25,100,24.2,68
654,Mar del Plata,AR,1529374411,-46.43,-67.52,50.4,57,19.84,68
655,Bakal,RU,1529374412,54.94,58.81,59.13,90,7.65,12
656,Kijang,ID,1529374412,0.9,104.63,85.05,91,13.24,88
657,Vanavara,RU,1529374412,60.35,102.28,77.85,43,3.62,0
658,Barcelos,BR,1529374412,-0.97,-62.93,71.55,100,2.95,92
659,Jojoima,SL,1529374412,7.88,-10.79,71.64,99,3.96,92
660,Uvalde,US,1529373060,29.21,-99.79,87.8,52,9.17,1
661,Bela Vista,BR,1529374413,-22.11,-56.53,58.68,90,5.19,0
662,Coihueco,CL,1529373600,-36.63,-71.83,42.8,100,2.24,90
663,Korla,CN,1529374413,41.76,86.15,66.06,87,4.29,80
664,Soligalich,RU,1529374414,59.08,42.29,68.85,82,4.52,8
665,La Orilla,MX,1529374414,18.0,-102.23,75.24,100,1.5,92
666,San Rafael,AR,1529374414,-34.61,-68.33,31.14,70,2.39,0
667,Buraydah,SA,1529370000,26.33,43.97,84.2,35,3.36,0
668,Beruwala,LK,1529374414,6.48,79.98,81.63,99,10.11,92
669,Brae,GB,1529373000,60.4,-1.35,50.0,81,33.33,92
670,Baniachang,BD,1529374414,24.52,91.37,80.55,96,8.66,92
671,Deputatskiy,RU,1529374264,69.3,139.9,70.83,38,6.76,8
672,Bambanglipuro,ID,1529374415,-7.95,110.28,83.52,66,5.19,20
673,Iqaluit,CA,1529370000,63.75,-68.52,39.2,80,2.06,75
674,Berberati,CF,1529374415,4.26,15.79,68.4,96,10.33,100
675,Aklavik,CA,1529370000,68.22,-135.01,73.4,35,8.05,90
676,Tuatapere,NZ,1529374415,-46.13,167.69,46.8,100,8.1,92
677,Inza,RU,1529374415,53.86,46.36,64.53,51,3.74,0
678,Roma,AU,1529374416,-26.57,148.79,53.28,71,13.8,0
679,Bolu,TR,1529374416,40.73,31.61,53.28,95,1.72,92
680,Saint-Pierre,PM,1529374251,46.77,-56.17,46.26,90,30.47,92
681,Nerchinskiy Zavod,RU,1529374416,51.31,119.61,61.65,60,8.99,8
682,Lethem,GY,1529374416,3.38,-59.8,73.35,97,4.52,68
683,Srednekolymsk,RU,1529374416,67.46,153.71,56.34,44,5.41,36
684,Zaltan,LY,1529374416,32.95,11.87,69.75,99,9.78,0
685,Lowestoft,GB,1529373000,52.48,1.75,64.4,82,13.87,68
686,Yellowknife,CA,1529370000,62.45,-114.38,69.8,46,9.17,75
687,Tamworth,AU,1529371800,-31.09,150.93,53.6,54,11.41,90
688,Rincon,US,1529373300,32.3,-81.24,82.4,83,8.05,20
689,Navsari,IN,1529374417,20.95,72.93,81.45,80,12.91,80
690,Dano,BF,1529374417,11.14,-3.06,72.45,91,9.22,36
691,Mathathane,BW,1529374418,-22.27,28.75,46.26,74,4.41,0
692,Basco,PH,1529374418,20.45,121.97,83.97,100,20.18,92
693,Shahr-e Babak,IR,1529374418,30.12,55.12,70.56,17,3.74,44
694,Naron,ES,1529373600,43.52,-8.15,62.6,88,3.36,8
695,Maxixe,MZ,1529374186,-23.86,35.35,67.5,100,11.12,0
696,Novobiryusinskiy,RU,1529374418,56.96,97.71,72.0,58,9.44,56
697,Lukovetskiy,RU,1529371800,64.29,41.92,64.4,72,4.47,40
698,Naze,JP,1529370000,28.37,129.48,82.4,88,11.41,75
699,Morgaushi,RU,1529371800,55.96,46.77,66.2,45,4.47,0
700,Robertsport,LR,1529374419,6.75,-11.37,76.32,100,10.11,76
701,Fitchburg,US,1529370840,42.58,-71.8,75.2,100,6.93,20
702,Abnub,EG,1529370000,27.27,31.15,80.6,47,3.96,0
703,Manzhouli,CN,1529374419,49.6,117.43,66.15,59,14.25,0
704,Andenes,NO,1529373000,69.31,16.12,46.4,100,9.17,75
705,Tura,RU,1529374420,64.27,100.22,72.63,52,2.95,0
706,Loandjili,CG,1529370000,-4.77,11.87,75.2,88,6.93,75
707,Sangueya,GN,1529374420,10.7,-14.37,76.41,88,3.62,76
708,Touros,BR,1529374420,-5.2,-35.46,77.94,82,9.44,68
709,Lebu,CL,1529374420,-37.62,-73.65,54.0,99,2.51,92
710,Rio Grande,BR,1529374421,-32.03,-52.1,46.89,95,6.98,0
711,Christchurch,NZ,1529371800,-43.53,172.64,50.0,76,11.41,8
712,Krasnorechenskiy,RU,1529374421,44.63,135.35,66.96,76,4.29,8
713,Bethel,US,1529373180,60.79,-161.76,57.2,82,9.17,90
714,Manggar,ID,1529374421,-2.88,108.27,87.75,71,11.79,12
715,Lexington,US,1529372100,38.05,-84.5,82.4,78,3.36,1
716,Keskin,TR,1529374422,39.67,33.62,54.99,91,2.73,80
717,Shimoda,JP,1529371800,34.7,138.93,75.2,56,5.82,75
718,Klaksvik,FO,1529373000,62.23,-6.59,48.2,81,26.4,88
719,Wuwei,CN,1529374422,37.93,102.64,69.39,71,5.75,20
720,Saposoa,PE,1529373600,-6.93,-76.77,69.8,94,1.39,20
721,Malayal,PH,1529370000,7.21,121.94,86.0,74,3.18,75
722,Pacific Grove,US,1529373780,36.62,-121.92,64.4,87,9.17,75
723,Tahe,CN,1529374423,52.34,124.71,54.54,100,5.64,92
724,Villa Guerrero,MX,1529374423,21.98,-103.59,64.98,85,1.5,64
725,Nadbai,IN,1529374423,27.22,77.2,93.42,45,4.97,20
726,Moba,CD,1529374423,-7.04,29.77,60.3,100,5.19,0
727,Nizhnevartovsk,RU,1529371800,60.93,76.58,57.2,100,4.47,75
728,Rocha,UY,1529374423,-34.48,-54.34,36.81,77,5.19,0
729,Kameoka,JP,1529370000,35.01,135.51,77.0,65,5.82,75
730,Tamiahua,MX,1529374424,21.28,-97.45,82.53,92,8.99,0
731,Kensington,CA,1529370000,46.44,-63.64,62.6,93,13.87,90
732,Mareeba,AU,1529371800,-16.99,145.42,75.2,31,17.22,20
733,Pipri,IN,1529374424,24.21,83.02,90.0,51,11.56,12
734,Pravia,ES,1529373600,43.49,-6.11,60.8,93,6.93,32
735,Kapuskasing,CA,1529370000,49.42,-82.43,64.4,55,8.05,20
736,Muisne,EC,1529374425,0.61,-80.02,72.9,90,3.18,8
737,Daru,PG,1529374425,-9.07,143.21,78.93,95,19.17,92
738,Baena,ES,1529371800,37.62,-4.32,73.4,60,4.7,8
739,Miyako,JP,1529372820,33.63,130.94,73.4,83,4.7,75
740,Arandis,NA,1529374425,-22.42,14.98,49.95,80,2.17,8
741,The Pas,CA,1529370000,53.82,-101.24,82.4,24,11.41,1
742,Turukhansk,RU,1529374426,65.8,87.96,70.11,78,4.63,24
743,Luxor,EG,1529370000,25.7,32.65,84.2,35,4.7,0
744,Zlitan,LY,1529374426,32.47,14.57,66.15,100,8.21,76
745,Cumberland,US,1529373120,41.97,-71.43,73.4,94,8.05,75
746,Timbuktu,ML,1529374426,16.77,-3.01,79.65,63,15.59,20
747,Provideniya,RU,1529371800,64.42,-173.23,48.2,66,8.95,0
748,Leh,IN,1529374364,34.16,77.58,28.71,100,2.06,12
749,Langsa,ID,1529374426,4.47,97.97,79.2,78,2.28,88
750,Payyannur,IN,1529374427,12.1,75.2,76.41,100,14.47,88
